1;1;0,17;0,78;0,7;0,77;0,68
1;0;0,17;0,58;0,35;0;0
0;0;0,17;0,58;0,35;0,7;0,6
1;1;1;0,77;0,84;0,75;1
0;1;0,33;0,77;0,7;0,71;0,71
0;1;0,17;0,77;0,9;0,87;0,63
0;1;0;0,78;0,65;0,74;0,81
1;0;0;0,52;0,58;0,59;0,63
1;0;0;0,57;0,24;0,68;0,49
1;0;0,17;0,52;0,35;0,13;0
0;1;1;0,9;0,99;1;1
0;1;0,17;0,89;0,88;0,7;0,63
1;0;0;0,61;0;0,05;0,49
0;1;0,83;0,83;0,72;0,77;0,81
1;0;0;0;0,03;0,03;0,49
0;1;0,17;0,65;0,66;0,68;0,49
1;1;0,67;1;1;0,89;1
0;1;1;0,85;0,94;0,92;0,81
1;1;0,83;0,52;0,58;0,74;0,49
1;0;0;0,57;0,35;0,03;0,63
